WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"domingo, 19/01/2025",Issued,15:00:11,Issued,1421411,CANADA,00017496,11065408317117044354,"55.990,00","7.278,70"
"domingo, 19/01/2025",Issued,15:17:33,Issued,1421411,UNITED STATES,700017497,11065408317117044377,"12.990,00","1.688,70"
"domingo, 19/01/2025",Issued,15:19:27,Issued,1421411,UNITED STATES,0217498,11065408317117044383,"104.980,00","13.647,40"
"domingo, 19/01/2025",Issued,17:13:09,Issued,1421411,UNITED STATES,0217503,11065408317117044570,"89.990,00","11.698,70"
"lunes, 20/01/2025",Issued,12:00:33,Processed by Global Blue,1421411,UNITED STATES,0217513,11065408317117045018,"399.990,00","55.998,60"
"miércoles, 22/01/2025",Issued,15:49:58,Processed by Global Blue,1421411,MEXICO,0217539,11065408317117046882,"146.960,00","19.104,80"
"sábado, 25/01/2025",Issued,14:12:57,Issued,1421411,UNITED STATES,00017571,11065408317117049530,"99.990,00","12.998,70"
"sábado, 25/01/2025",Issued,17:38:28,Issued,1421411,PERU,0217577,11065408317117049839,"114.990,00","14.948,70"
"domingo, 26/01/2025",Issued,12:34:09,Processed by Global Blue,1421411,MEXICO,0200017584,11065408317117050326,"80.970,00","10.526,10"
"domingo, 26/01/2025",Issued,13:38:48,Processed by Global Blue,1421411,FRANCE,0217589,11065408317117050405,"167.990,00","21.838,70"
"domingo, 26/01/2025",Issued,13:40:36,Processed by Global Blue,1421411,FRANCE,0217590,11065408317117050446,"167.990,00","21.838,70"
"domingo, 26/01/2025",Issued,17:52:43,Processed by Global Blue,1421411,CANADA,0217605,11065408317117050759,"99.990,00","12.998,70"
"domingo, 26/01/2025",Issued,17:58:46,Issued,1421411,CANADA,0217606,11065408317117050771,"99.990,00","12.998,70"
"domingo, 26/01/2025",Issued,18:19:38,Issued,1421411,"KOREA, REPUBLIC OF",00017607,11065408317117050825,"26.990,00","3.508,70"
"domingo, 26/01/2025",Issued,18:27:48,Processed by Global Blue,1421411,CANADA,00017608,11065408317117050839,"199.980,00","25.997,40"
"domingo, 26/01/2025",Issued,18:47:30,Issued,1421411,UKRAINE,00017609,11065408317117050841,"65.990,00","8.578,70"
"miércoles, 29/01/2025",Issued,13:09:14,Processed by Global Blue,1421411,MEXICO,0217626,11065408317117052731,"76.970,00","10.006,10"
"domingo, 02/02/2025",Issued,13:16:47,Issued,1421411,MEXICO,0200017671,11065408317117055163,"94.990,00","12.348,70"
"domingo, 02/02/2025",Issued,13:29:28,Processed by Global Blue,1421411,UNITED STATES,0200017672,11065408317117055185,"110.990,00","14.428,70"
"domingo, 02/02/2025",Issued,16:06:22,Issued,1421411,MEXICO,0200017678,11065408317117055383,"114.990,00","14.948,70"
"martes, 04/02/2025",Issued,13:21:10,Issued,1421411,FINLAND,0200017690,11065408317117056307,"159.990,00","20.798,70"
"jueves, 06/02/2025",Issued,14:45:35,Processed by Global Blue,1421411,"KOREA, REPUBLIC OF",00017702,11065408317117057607,"171.990,00","22.358,70"
"domingo, 09/02/2025",Issued,16:05:45,Issued,1421411,UNITED STATES,00017736,11065408317117060397,"114.990,00","14.948,70"
"domingo, 09/02/2025",Issued,16:07:23,Issued,1421411,UNITED STATES,00017735,11065408317117060402,"151.980,00","19.757,40"
"domingo, 09/02/2025",Issued,17:14:40,Processed by Global Blue,1421411,PERU,00017738,11065408317117060516,"215.970,00","28.076,10"
"domingo, 09/02/2025",Issued,17:59:16,Issued,1421411,BRAZIL,00017739,11065408317117060592,"96.990,00","12.608,70"
"lunes, 10/02/2025",Issued,14:23:06,Issued,1421411,UNITED STATES,00017748,11065408317117061016,"39.990,00","5.198,70"
"lunes, 10/02/2025",Issued,18:49:49,Issued,1421411,MEXICO,00017751,11065408317117061351,"275.990,00","35.878,70"
"miércoles, 12/02/2025",Issued,16:38:33,Processed by Global Blue,1421411,UNITED STATES,0200017762,11065408317117062791,"558.870,00","78.241,80"
"miércoles, 12/02/2025",Issued,17:09:00,Processed by Global Blue,1421411,UNITED STATES,0200017765,11065408317117062840,"206.980,00","26.907,40"
"miércoles, 12/02/2025",Issued,17:22:05,Issued,1421411,MEXICO,0200017766,11065408317117062926,"89.990,00","11.698,70"
"miércoles, 12/02/2025",Issued,18:46:42,Issued,1421411,UNITED STATES,0200017770,11065408317117063127,"119.990,00","15.598,70"
"miércoles, 12/02/2025",Issued,18:49:09,Issued,1421411,UNITED STATES,0200017769,11065408317117063136,"119.960,00","15.594,80"
"jueves, 13/02/2025",Issued,11:33:41,Processed by Global Blue,1421411,MEXICO,00017773,11065408317117063311,"89.990,00","11.698,70"
